Yahoo_Ticker,Ticker,Name,Sector,Country,Currency_Yahoo
DISCA,DISCA,Discovery Inc. Class A,Communication Services,USA,EURUSD=X
DISCK,DISCK,Discovery Inc. Class C,Communication Services,USA,EURUSD=X
DISH,DISH,Dish Network,Communication Services,USA,EURUSD=X
DG,DG,Dollar General,Consumer Discretionary,USA,EURUSD=X
DLTR,DLTR,Dollar Tree,Consumer Discretionary,USA,EURUSD=X
D,D,Dominion Energy,Utilities,USA,EURUSD=X
DOV,DOV,Dover Corporation,Industrials,USA,EURUSD=X
DOW,DOW,Dow Inc.,Materials,USA,EURUSD=X
DTE,DTE,DTE Energy Co.,Utilities,USA,EURUSD=X
DUK,DUK,Duke Energy,Utilities,USA,EURUSD=X
DRE,DRE,Duke Realty Corp,Real Estate,USA,EURUSD=X
DD,DD,DuPont de Nemours Inc,Materials,USA,EURUSD=X
DXC,DXC,DXC Technology,Information Technology,USA,EURUSD=X
ETFC,ETFC,E*Trade,Financials,USA,EURUSD=X
EMN,EMN,Eastman Chemical,Materials,USA,EURUSD=X
ETN,ETN,Eaton Corporation,Industrials,USA,EURUSD=X
EBAY,EBAY,eBay Inc.,Consumer Discretionary,USA,EURUSD=X
ECL,ECL,Ecolab Inc.,Materials,USA,EURUSD=X
EIX,EIX,Edison Int'l,Utilities,USA,EURUSD=X
EW,EW,Edwards Lifesciences,Health Care,USA,EURUSD=X
EA,EA,Electronic Arts,Communication Services,USA,EURUSD=X
EMR,EMR,Emerson Electric Company,Industrials,USA,EURUSD=X
ETR,ETR,Entergy Corp.,Utilities,USA,EURUSD=X
EOG,EOG,EOG Resources,Energy,USA,EURUSD=X
EFX,EFX,Equifax Inc.,Industrials,USA,EURUSD=X
EQIX,EQIX,Equinix,Real Estate,USA,EURUSD=X
EQR,EQR,Equity Residential,Real Estate,USA,EURUSD=X
ESS,ESS,"Essex Property Trust, Inc.",Real Estate,USA,EURUSD=X
EL,EL,Estée Lauder Companies,Consumer Staples,USA,EURUSD=X
EVRG,EVRG,Evergy,Utilities,USA,EURUSD=X
ES,ES,Eversource Energy,Utilities,USA,EURUSD=X
RE,RE,Everest Re Group Ltd.,Financials,USA,EURUSD=X
EXC,EXC,Exelon Corp.,Utilities,USA,EURUSD=X
EXPE,EXPE,Expedia Group,Consumer Discretionary,USA,EURUSD=X
EXPD,EXPD,Expeditors,Industrials,USA,EURUSD=X
EXR,EXR,Extra Space Storage,Real Estate,USA,EURUSD=X
XOM,XOM,Exxon Mobil Corp.,Energy,USA,EURUSD=X
FFIV,FFIV,F5 Networks,Information Technology,USA,EURUSD=X
FB,FB,"Facebook, Inc.",Communication Services,USA,EURUSD=X
FAST,FAST,Fastenal Co,Industrials,USA,EURUSD=X
FRT,FRT,Federal Realty Investment Trust,Real Estate,USA,EURUSD=X
FDX,FDX,FedEx Corporation,Industrials,USA,EURUSD=X
FIS,FIS,Fidelity National Information Services,Information Technology,USA,EURUSD=X
FITB,FITB,Fifth Third Bancorp,Financials,USA,EURUSD=X
FE,FE,FirstEnergy Corp,Utilities,USA,EURUSD=X
FRC,FRC,First Republic Bank,Financials,USA,EURUSD=X
FISV,FISV,Fiserv Inc,Information Technology,USA,EURUSD=X
FLT,FLT,FleetCor Technologies Inc,Information Technology,USA,EURUSD=X
FLIR,FLIR,FLIR Systems,Information Technology,USA,EURUSD=X
FLS,FLS,Flowserve Corporation,Industrials,USA,EURUSD=X
FMC,FMC,FMC Corporation,Materials,USA,EURUSD=X
F,F,Ford Motor Company,Consumer Discretionary,USA,EURUSD=X
FTNT,FTNT,Fortinet,Information Technology,USA,EURUSD=X
FTV,FTV,Fortive Corp,Industrials,USA,EURUSD=X
FBHS,FBHS,Fortune Brands Home & Security,Industrials,USA,EURUSD=X
