Date,Strategy_1,Strategy_2,Strategy_3,Buy_and_Hold
4/1/1927,0,0,-1,1
5/1/1927,0,0,-1,1
6/1/1927,0,0,-1,1
7/1/1927,0,0,-1,1
8/1/1927,0,0,-1,1
9/1/1927,0,0,-1,1
10/1/1927,0,0,-1,1
11/1/1927,0,0,-1,1
12/1/1927,0,0,-1,1
1/1/1928,0,0,-1,1
2/1/1928,0,0,-1,1
3/1/1928,0,0,-1,1
4/1/1928,0,0,-1,1
5/1/1928,0,0,-1,1
6/1/1928,0,0,-1,1
7/1/1928,0,0,-1,1
8/1/1928,0,0,-1,1
9/1/1928,0,0,-1,1
10/1/1928,0,0,-1,1
11/1/1928,0,0,-1,1
12/1/1928,0,0,-1,1
1/1/1929,0,0,-1,1
2/1/1929,0,0,-1,1
3/1/1929,0,0,-1,1
4/1/1929,0,0,-1,1
5/1/1929,0,0,-1,1
6/1/1929,0,0,-1,1
7/1/1929,0,0,-1,1
8/1/1929,0,0,-1,1
9/1/1929,0,0,-1,1
10/1/1929,0,0,-1,1
11/1/1929,0,0,-1,1
12/1/1929,0,0,-1,1
1/1/1930,0,0,-1,1
2/1/1930,0,0,-1,1
3/1/1930,0,0,-1,1
4/1/1930,0,0,-1,1
5/1/1930,0,0,-1,1
6/1/1930,0,0,-1,1
7/1/1930,0,0,-1,1
8/1/1930,0,0,-1,1
9/1/1930,0,0,-1,1
10/1/1930,0,0,-1,1
11/1/1930,0,0,-1,1
12/1/1930,0,0,-1,1
1/1/1931,1,1,1,1
2/1/1931,1,1,1,1
3/1/1931,1,1,1,1
4/1/1931,1,1,1,1
5/1/1931,1,1,1,1
6/1/1931,1,1,1,1
7/1/1931,1,1,1,1
8/1/1931,1,1,1,1
9/1/1931,1,1,1,1
10/1/1931,1,1,1,1
11/1/1931,1,1,1,1
12/1/1931,1,1,1,1
1/1/1932,1,1,1,1
2/1/1932,1,1,1,1
3/1/1932,1,1,1,1
4/1/1932,1,1,1,1
5/1/1932,1,1,1,1
6/1/1932,1,1,1,1
7/1/1932,1,1,1,1
8/1/1932,1,1,1,1
9/1/1932,1,1,1,1
10/1/1932,1,1,1,1
11/1/1932,1,1,1,1
12/1/1932,1,1,1,1
1/1/1933,1,1,1,1
2/1/1933,1,1,1,1
3/1/1933,1,1,1,1
4/1/1933,1,1,1,1
5/1/1933,1,1,1,1
6/1/1933,1,1,1,1
7/1/1933,1,1,1,1
8/1/1933,1,1,1,1
9/1/1933,1,1,1,1
10/1/1933,1,1,1,1
11/1/1933,1,1,1,1
12/1/1933,1,1,1,1
1/1/1934,1,1,1,1
2/1/1934,1,1,1,1
3/1/1934,1,1,1,1
4/1/1934,1,1,1,1
5/1/1934,1,1,1,1
6/1/1934,1,1,1,1
7/1/1934,1,1,1,1
8/1/1934,1,1,1,1
9/1/1934,1,1,1,1
10/1/1934,1,1,1,1
11/1/1934,1,1,1,1
12/1/1934,1,1,1,1
1/1/1935,0,0,0,1
2/1/1935,0,0,0,1
3/1/1935,0,0,0,1
4/1/1935,0,0,0,1
5/1/1935,0,0,0,1
6/1/1935,0,0,0,1
7/1/1935,0,0,0,1
8/1/1935,0,0,0,1
9/1/1935,0,0,0,1
10/1/1935,0,0,0,1
11/1/1935,0,0,0,1
12/1/1935,0,0,0,1
1/1/1936,0,0,0,1
2/1/1936,0,0,0,1
3/1/1936,0,0,0,1
4/1/1936,0,0,0,1
5/1/1936,0,0,0,1
6/1/1936,0,0,0,1
7/1/1936,0,0,0,1
8/1/1936,0,0,0,1
9/1/1936,0,0,0,1
10/1/1936,0,0,0,1
11/1/1936,0,0,0,1
12/1/1936,0,0,0,1
1/1/1937,0,0,0,1
2/1/1937,0,0,0,1
3/1/1937,0,0,0,1
4/1/1937,0,0,0,1
5/1/1937,0,0,0,1
6/1/1937,0,0,0,1
7/1/1937,0,0,0,1
8/1/1937,0,0,0,1
9/1/1937,0,0,0,1
10/1/1937,0,0,0,1
11/1/1937,0,0,0,1
12/1/1937,0,0,0,1
1/1/1938,0,0,0,1
2/1/1938,0,0,0,1
3/1/1938,0,0,0,1
4/1/1938,0,0,0,1
5/1/1938,0,0,0,1
6/1/1938,0,0,0,1
7/1/1938,0,0,0,1
8/1/1938,0,0,0,1
9/1/1938,0,0,0,1
10/1/1938,0,0,0,1
11/1/1938,0,0,0,1
12/1/1938,0,0,0,1
1/1/1939,0,0,0,1
2/1/1939,0,0,0,1
3/1/1939,0,0,0,1
4/1/1939,0,0,0,1
5/1/1939,0,0,0,1
6/1/1939,0,0,0,1
7/1/1939,0,0,0,1
8/1/1939,0,0,0,1
9/1/1939,0,0,0,1
10/1/1939,0,0,0,1
11/1/1939,0,0,0,1
12/1/1939,0,0,0,1
1/1/1940,0,0,0,1
2/1/1940,0,0,0,1
3/1/1940,0,0,0,1
4/1/1940,0,0,0,1
5/1/1940,0,0,0,1
6/1/1940,0,0,0,1
7/1/1940,0,0,0,1
8/1/1940,0,0,0,1
9/1/1940,0,0,0,1
10/1/1940,0,0,0,1
11/1/1940,0,0,0,1
12/1/1940,0,0,0,1
1/1/1941,0,0,0,1
2/1/1941,0,0,0,1
3/1/1941,0,0,0,1
4/1/1941,0,0,0,1
5/1/1941,0,0,0,1
6/1/1941,0,0,0,1
7/1/1941,0,0,0,1
8/1/1941,0,0,0,1
9/1/1941,0,0,0,1
10/1/1941,0,0,0,1
11/1/1941,0,0,0,1
12/1/1941,0,0,0,1
1/1/1942,1,1,1,1
2/1/1942,1,1,1,1
3/1/1942,1,1,1,1
4/1/1942,1,1,1,1
5/1/1942,1,1,1,1
6/1/1942,1,1,1,1
7/1/1942,1,1,1,1
8/1/1942,1,1,1,1
9/1/1942,1,1,1,1
10/1/1942,1,1,1,1
11/1/1942,1,1,1,1
12/1/1942,1,1,1,1
1/1/1943,1,1,1,1
2/1/1943,1,1,1,1
3/1/1943,1,1,1,1
4/1/1943,1,1,1,1
5/1/1943,1,1,1,1
6/1/1943,1,1,1,1
7/1/1943,1,1,1,1
8/1/1943,1,1,1,1
9/1/1943,1,1,1,1
10/1/1943,1,1,1,1
11/1/1943,1,1,1,1
12/1/1943,1,1,1,1
1/1/1944,1,1,1,1
2/1/1944,1,1,1,1
3/1/1944,1,1,1,1
